file_path,file_name,directory,file_size_bytes,format,duration_seconds,sample_rate,channels,bit_depth,bitrate_kbps,file_hash,ai_description,ai_tags,ai_category,processed_at
sound/agrunt/ag_alert1.wav,ag_alert1.wav,agrunt,19328,wav,1.741,11025,1,8,,e7db247b49bb4f2e,"A low, guttural growl, likely from a hostile creature.",growl|monster|creature|threatening|alien,creature,2026-01-07T14:45:05.519029+00:00
sound/agrunt/ag_alert2.wav,ag_alert2.wav,agrunt,17372,wav,1.564,11025,1,8,,0ef670d2173ee1af,"A low, guttural growl, possibly from a creature in Half-Life.",growl|creature|monster|alien,creature,2026-01-07T14:45:08.393972+00:00
sound/agrunt/ag_alert3.wav,ag_alert3.wav,agrunt,14558,wav,1.309,11025,1,8,,76671ae11e0d35a1,A low growl and rattling sound suggest a creature nearby.,growl|creature|rattling|monster,creature,2026-01-07T14:45:11.863301+00:00
sound/agrunt/ag_alert4.wav,ag_alert4.wav,agrunt,15826,wav,1.424,11025,1,8,,f22d59a6581d51fe,"A deep, guttural growl, likely from a monstrous creature.",monster|growl|deep|creature|vocal,creature,2026-01-07T14:45:15.018250+00:00
sound/agrunt/ag_alert5.wav,ag_alert5.wav,agrunt,7198,wav,0.641,11025,1,8,,32d2807ead7c65ca,"A headcrab screeches and chatters, likely in an aggressive manner.",headcrab|creature|monster|screech|chitter,creature,2026-01-07T14:45:18.837016+00:00
sound/agrunt/ag_attack1.wav,ag_attack1.wav,agrunt,19788,wav,1.783,11025,1,8,,bcf3445e450130c0,"A Houndeye emits its distinctive, high-pitched squeal.",houndeye|monster|squeal|alien,creature,2026-01-07T14:45:22.450683+00:00
sound/agrunt/ag_attack2.wav,ag_attack2.wav,agrunt,11492,wav,1.031,11025,1,8,,4076c12f75d536ff,"A loud, grotesque gurgling sound, likely from a creature.",creature|gurgle|monster|alien|grotesque,creature,2026-01-07T14:45:25.504906+00:00
sound/agrunt/ag_attack3.wav,ag_attack3.wav,agrunt,8604,wav,0.769,11025,1,8,,eb3c00996d800a7d,"An Alien Grunt creature making an attack vocalization, likely a snort or growl. Sounds like a standard grunt in combat.",alien grunt|agrunt|attack|vocalization|growl|snort|combat,creature,2026-01-07T18:10:40.659451+00:00
sound/agrunt/ag_die1.wav,ag_die1.wav,agrunt,6902,wav,0.615,11025,1,8,,a89a59e47cf15983,"A gurgling, labored breathing sound, likely from a monster or creature.",gurgling|breathing|monster|alien|vocal,creature,2026-01-07T14:45:35.124445+00:00
sound/agrunt/ag_die2.wav,ag_die2.wav,agrunt,16108,wav,1.45,11025,1,8,,8a8a9238e6c5b741,Sound of an Alien Grunt dying. Likely a gurgling or strained vocalization indicating pain and expiration.,agrunt|alien grunt|die|death|vocal|gurgle,creature,2026-01-07T18:10:44.770719+00:00
sound/agrunt/ag_die3.wav,ag_die3.wav,agrunt,32760,wav,2.96,11025,1,8,,70603423fcbcca39,"A loud, monstrous roar, likely from a hostile creature.  Sounds aggressive and potentially threatening.",monster|roar|creature|aggressive|alien,creature,2026-01-07T14:45:41.350221+00:00
sound/agrunt/ag_die4.wav,ag_die4.wav,agrunt,29824,wav,2.694,11025,1,8,,d23d971fa34648ff,"A low, guttural moan or growl, possibly from a monster or creature.",moan|growl|creature|monster|low frequency,creature,2026-01-07T14:45:44.611235+00:00
sound/agrunt/ag_die5.wav,ag_die5.wav,agrunt,34326,wav,3.102,11025,1,8,,a2f2e9c7d0cd8213,"A low, guttural, and monstrous growl, possibly indicative of pain or distress.",growl|monster|creature|guttural|pain,creature,2026-01-07T14:45:47.708647+00:00
